date,ship_count,avg_ship_speed,port_congestion_level,storm_events_count,cyber_attack_count,trade_value,risk_score,coverage_score,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,delivery_time_deviation,total_confirmed,total_deaths,active_cases,ship_count_r3_lag1,ship_count_r7_lag1,ship_count_r14_lag1,avg_ship_speed_r3_lag1,avg_ship_speed_r7_lag1,avg_ship_speed_r14_lag1,port_congestion_level_r3_lag1,port_congestion_level_r7_lag1,port_congestion_level_r14_lag1,storm_events_count_r3_lag1,storm_events_count_r7_lag1,storm_events_count_r14_lag1,cyber_attack_count_r3_lag1,cyber_attack_count_r7_lag1,cyber_attack_count_r14_lag1,trade_value_r3_lag1,trade_value_r7_lag1,trade_value_r14_lag1,traffic_congestion_level_r3_lag1,traffic_congestion_level_r7_lag1,traffic_congestion_level_r14_lag1,warehouse_inventory_level_r3_lag1,warehouse_inventory_level_r7_lag1,warehouse_inventory_level_r14_lag1,fuel_consumption_rate_r3_lag1,fuel_consumption_rate_r7_lag1,fuel_consumption_rate_r14_lag1,historical_demand_r3_lag1,historical_demand_r7_lag1,historical_demand_r14_lag1
01-01-2020,530,11.91,6.85701477,3,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,284.1500134,2.200855221,0.284563299,0.583304067,0.0,445.3452051,0.0,5.006246603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685734003,5.025510934,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-01-2021,125,15.34,6.050231728,0,0,0,0.4657,0.4,36.85129659,-86.65679521,6.658841574,3.046360085,5.297886006,301.5768029,2.540594741,0.257542336,0.563765184,0.485588848,400.0389481,0.513834344,5.779030306,6087.738444,3.661446516,0.30637487,6.777202467,2.235945597,0.404497355,0.742519847,0.855860368,0.659013907,5.629205088,0,0,0,530.0,530.0,530.0,11.91,11.91,11.91,6.85701477,6.85701477,6.85701477,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.1500134,284.1500134,284.1500134,0.0,0.0,0.0,0.0,0.0,0.0
01-01-2022,501,11.5,5.895780984,1,0,0,0.468,0.4,38.44491374,-89.99448834,8.686726844,3.177419965,4.259294928,334.5195137,1.770615961,0.35219667,0.573720451,0.503844827,447.2450833,0.439493604,4.343220604,6527.649685,-0.232783021,0.334892112,6.708496253,2.638078539,0.596911881,0.676828565,0.859499469,0.755077957,5.117729338,0,0,0,327.5,327.5,327.5,13.625,13.625,13.625,6.453623249,6.453623249,6.453623249,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.648943003,2.648943003,2.648943003,292.86340815,292.86340815,292.86340815,3.329420787,3.329420787,3.329420787,3043.869222,3043.869222,3043.869222
01-01-2023,15932,1.886822365,6.755303186,2,288,0,0.5421,0.6,38.2121367,-87.2525757,8.767575056,2.507072137,4.763011537,340.4405981,2.333732966,0.375970152,0.596988055,0.446296804,370.7700313,0.537140589,2.894643356,5966.594196,-1.032947604,0.339846906,7.031081888,2.245139853,0.459775843,0.616998001,0.714229132,0.731608451,5.753956457,0,0,0,385.3333333333333,385.3333333333333,385.3333333333333,12.916666666666666,12.916666666666666,12.916666666666666,6.267675827333334,6.267675827333334,6.267675827333334,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.185726978,3.185726978,3.185726978,306.74877666666663,306.74877666666663,306.74877666666663,5.115189472666667,5.115189472666667,5.115189472666667,4205.129376333333,4205.129376333333,4205.129376333333
01-02-2020,576,12.07,0.0,2,0,852271000,0.0506,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12038,259,11498,5519.333333333333,4272.0,4272.0,9.575607455,10.15920559125,10.15920559125,6.233771966,6.389582667,6.389582667,1.0,1.5,1.5,96.0,72.0,72.0,0.0,0.0,0.0,4.773397490333333,3.5800481177499996,3.5800481177499996,325.51230489999995,315.171732025,315.171732025,8.037714491333334,6.0282858685,6.0282858685,6193.994108333333,4645.49558125,4645.49558125
01-02-2021,248,13.59,6.879628555,3,0,0,0.4648,0.4,39.93714347,-85.2878043,8.361474951,2.498009608,5.566453767,236.4208567,2.432414919,0.286095031,0.51605335,0.46064508,461.4672839,0.477330706,6.318711585,6178.294618,-2.180367999,0.392681316,7.672023535,2.952521892,0.556222798,0.50949164,0.769298217,0.77676983,3.430941902,0,0,0,5669.666666666667,3532.8,3532.8,8.485607455,10.541364473,10.541364473,4.217028056666667,5.1116661336,5.1116661336,1.6666666666666667,1.6,1.6,96.0,57.6,57.6,284090333.3333333,170454200.0,170454200.0,3.0074354883333334,2.8640384942,2.8640384942,224.98670393333336,252.13738561999998,252.13738561999998,5.818100633333334,4.822628694800001,4.822628694800001,4164.747960333334,3716.3964650000003,3716.3964650000003
01-02-2022,453,11.81,6.088330115,3,0,0,0.4587,0.4,38.76477785,-91.18400185,8.66117494,3.435950285,6.095216134,262.1555155,2.200855221,0.321998834,0.636312959,0.599825905,393.0371396,0.412371732,6.52662011,4864.315654,4.514657043,0.191280875,5.957365153,1.791830259,0.558890677,0.45084546,0.792570394,0.646144506,5.889872424,0,0,0,5585.333333333333,2985.3333333333335,2985.3333333333335,9.182274121666667,11.049470394166667,11.049470394166667,4.544977246999999,5.406326537166667,5.406326537166667,2.3333333333333335,1.8333333333333333,1.8333333333333333,96.0,48.0,48.0,284090333.3333333,142045166.66666666,142045166.66666666,3.4431551013333332,3.3144410396666664,3.3144410396666664,192.28715160000002,249.51796413333332,249.51796413333332,5.709683335666667,5.412436404166667,5.412436404166667,4048.296271333333,4126.7128238333335,4126.7128238333335
01-02-2023,764,13.46,7.800092855,4,288,0,0.5068,0.6,38.42959255,-83.61542838,7.322562297,3.289589257,3.673064122,330.9793148,2.460442737,0.203210206,0.687779976,0.563426219,403.8147935,0.495124522,3.914475124,5939.359048,0.507620656,0.309635903,8.361371027,2.893786117,0.475443497,0.721213934,0.848730684,0.62504295,5.806032349,0,0,0,425.6666666666667,2623.5714285714284,2623.5714285714284,12.49,11.158117480714285,11.158117480714285,4.32265289,5.503755619714285,5.503755619714285,2.6666666666666665,2.0,2.0,0.0,41.142857142857146,41.142857142857146,284090333.3333333,121753000.0,121753000.0,3.8872233003333334,3.7116946245714284,3.7116946245714284,166.19212406666665,251.3233286142857,251.3233286142857,5.6742166303333335,5.876541909285714,5.876541909285714,3680.870090666667,4232.084656714285,4232.084656714285
01-03-2020,541,8.88,0.0,0,0,733222000,0.0496,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87690,2990,43492,488.3333333333333,2657.0,2391.125,12.953333333333333,11.379546052142858,11.445852795625001,6.922683841666667,5.638481060428572,5.790797774125,3.3333333333333335,2.142857142857143,2.25,96.0,82.28571428571429,72.0,0.0,121753000.0,106533875.0,5.111578007666666,4.236418070571428,3.7068658117499997,276.51856233333336,258.0132288142857,261.2803268875,8.115070729333334,6.9226222374285715,6.05729445775,5660.65644,5080.564520714286,4445.493955625
01-03-2021,249,11.4,7.252332922,4,0,0,0.4793,0.4,37.14967369,-90.04025824,8.258654261,2.872598901,4.477055704,528.9982621,2.479803112,0.332745177,0.659118174,0.466468221,420.4341134,0.577830479,6.154138933,5717.444677,-2.461916934,0.21574179,7.011926123,2.600254502,0.493246135,0.596023883,0.83944667,0.690198715,4.670574329,0,0,0,586.0,2716.4285714285716,2185.5555555555557,11.383333333333335,10.456688909285715,11.160758040555557,4.6294743233333335,4.774162242142857,5.147375799222222,2.3333333333333335,2.142857142857143,2.0,96.0,82.28571428571429,64.0,244407333.33333334,226499000.0,176165888.8888889,3.256093418666667,3.4795772125714284,3.2949918326666663,197.7116101,214.93082840000002,232.24917945555555,5.327912412333333,5.971359155428572,5.384261740222223,3601.2249006666666,4210.887600142857,3951.550182777778
