date,ship_count,avg_ship_speed,port_congestion_level,storm_events_count,cyber_attack_count,trade_value,risk_score,coverage_score,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,delivery_time_deviation,total_confirmed,total_deaths,active_cases
01-01-2020,530,11.91,6.85701477,3,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
02-01-2020,399,11.72,6.85701477,0,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
03-01-2020,582,13.69,6.85701477,1,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
04-01-2020,605,14.48,6.85701477,4,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
05-01-2020,320,13.06,6.85701477,2,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
06-01-2020,389,11.07,6.85701477,2,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
07-01-2020,535,10.96,6.85701477,3,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
08-01-2020,495,10.86,6.85701477,3,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
09-01-2020,529,10.35,6.85701477,3,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
10-01-2020,449,13.16,6.85701477,2,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
11-01-2020,626,14.69,6.85701477,4,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
12-01-2020,620,12.98,6.85701477,1,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
13-01-2020,552,9.61,6.85701477,2,0,0,0,0.4,0,0,0,0,0,284.1500134,2.200855221,0.284563299,0.583304067,0,445.3452051,0,5.006246603,0,0,0,0,0,0,0,0,0.685734003,5.025510934,0,0,0
